Id,category,Label
nm0578572,actor,Asdrúbal Meléndez
nm0423663,actor,Tomisaburô Wakayama
nm0837420,actor,Bunta Sugawara
nm0001884,actor,Max von Sydow
nm0117505,actor,Radoslav Brzobohatý
nm0125909,actor,Rolan Bykov
nm0813463,actor,Anatoliy Solonitsyn
nm0096846,actor,Oleg Borisov
nm0023904,actor,Günther Amann
nm0464417,actor,Róbert Koltai
nm0000126,actor,Kevin Costner
nm0911285,actor,David Warbeck
nm0721073,actor,Fernando Rey
nm0211565,actor,Christian De Sica
nm0134073,actor,Enzo Cannavale
nm0398969,actor,Bruce Le
nm0156542,actor,Yi-Tao Chang
nm0686375,actor,Michele Placido
nm0904303,actor,Pavle Vuisic
nm0631877,actor,Dragan Nikolic
nm0831262,actor,Danilo 'Bata' Stojkovic
nm0156955,actor,David Chiang
nm0398944,actor,Hua Yueh
nm0157971,actor,Paul Chun
nm0398745,actor,Tien-Hsiang Lung
nm0401204,actor,Ricky Hui
nm0938975,actor,Carter Wong
nm0848903,actor,Tao-Liang Tan
nm0399007,actor,Jang-Lee Hwang
nm0000334,actor,Chow Yun-Fat
nm0891830,actor,Gonzalo Vega
nm0645327,actor,Manuel Ojeda
nm0862479,actor,Lung Ti
nm0174289,actor,Fabián Conde
nm0001283,actor,Louis Gossett Jr.
nm0504973,actor,Alex Man
nm0594226,actor,Kiu Wai Miu
nm0001866,actor,Bolo Yeung
nm0017062,actor,Mircea Albulescu
nm0712731,actor,Aldo Ray
nm0043934,actor,Miguel Ayones
nm0151655,actor,Chan-Peng Chang
nm0297143,actor,Sheng Fu
nm0514906,actor,Chia-Liang Liu
nm0537301,actor,Te-Lo Mai
nm0162502,actor,Luís Miguel Cintra
nm0798189,actor,Jorge Silva Melo
nm0497097,actor,Danny Lee
nm0284608,actor,Feng Tien
nm0387360,actor,Pak-Kwong Ho
nm0882972,actor,Lukás Vaculík
nm0229352,actor,Michal Dlouhý
nm0799108,actor,Armando Silvestre
nm0881809,actor,Orlando Urdaneta
nm0142983,actor,Francisco Casares
nm0576327,actor,Francisco Merino
nm0697514,actor,Barry Prima
nm0050966,actor,Mario Balmaseda
nm0525557,actor,Olgierd Lukaszewicz
nm0809681,actor,Reid Smith
nm0887695,actor,James Van Patten
nm0160865,actor,Norman Chu
nm0490492,actor,Tony Liu
nm0939429,actor,Jung Wang
nm0516327,actor,Meng Lo
nm0156982,actor,Sheng Chiang
nm0509600,actor,Li Wang
nm0523711,actor,Feng Lu
nm0151155,actor,Michael Wai-Man Chan
nm0035280,actor,Jean-Pierre Armand
nm0000885,actor,Ned Beatty
nm0000345,actor,Billy Crystal
nm0187337,actor,Bruno Cremer
nm0027984,actor,Péter Andorai
nm0595115,actor,W.D. Mochtar
nm0196801,actor,Antonio Eduardo Dagnino
nm0145030,actor,Carlos Castillo
nm0617307,actor,Hugo Márquez
nm0396355,actor,Germain Houde
nm0007069,actor,Pierre Richard
nm0599604,actor,Enrico Montesano
nm0302080,actor,Juan Luis Galiardo
nm0600120,actor,Ovidi Montllor
nm0718704,actor,Fermí Reixach
nm0449404,actor,Robert Kerman
nm0053230,actor,Luca Barbareschi
nm0305955,actor,Andrés García
nm0398703,actor,Rudolf Hrusínský
nm0436444,actor,Jerzy Kamas
nm0167388,actor,François Cluzet
nm0328020,actor,Agustín González
nm0768574,actor,José Sazatornil
nm0022264,actor,Rafael Alonso
nm0580853,actor,Ricardo Merino
nm0022765,actor,Héctor Alterio
nm0148992,actor,José Manuel Cervino
nm0385860,actor,Joaquín Hinojosa
nm0689260,actor,Luis Politti
nm0037274,actor,Miguel Arribas
nm0145061,actor,Eric del Castillo
nm0408600,actor,Pedro Infante Jr.
nm0059303,actor,Jirí Bartoska
nm0693140,actor,Ladislav Potmesil
nm0000024,actor,John Gielgud
nm0950757,actor,Wah Yuen
nm0000728,actor,Mario Adorf
nm0349427,actor,Emilio Gutiérrez Caba
nm0007023,actor,José Luis López Vázquez
nm0616385,actor,Chema Muñoz
nm0435726,actor,Jean-Pierre Kalfon
nm0388367,actor,Hoi Mang
nm0137728,actor,José Carlos Ruiz
nm0736035,actor,Milton Rodríguez
nm0463805,actor,Mikhail Kokshenov
nm0679466,actor,Jörg Pfennigwerth
nm0121007,actor,Eric Burdon
nm0953400,actor,Manuel Zarzo
nm0000901,actor,Jean-Paul Belmondo
nm0001428,actor,Klaus Kinski
nm0000172,actor,Harvey Keitel
nm0042800,actor,István Avar
nm0051880,actor,Lino Banfi
nm0899911,actor,Alvaro Vitali
nm0126549,actor,János Bán
nm0701633,actor,Antal Páger
nm0472166,actor,Jozef Kroner
nm0246150,actor,Armen Dzhigarkhanyan
nm0000009,actor,Richard Burton
nm0159258,actor,Cyril Cusack
nm0674742,actor,Jacques Perrin
nm0159037,actor,Elton Chong
nm0359154,actor,Eagle Han
nm0000329,actor,Jackie Chan
nm0839003,actor,Yueh Sun
nm0755364,actor,José Sacristán
nm0593848,actor,James Mitchum
nm0001017,actor,John Carradine
nm0615511,actor,Lautaro Murúa
nm0196327,actor,Mario Da Vinci
nm0196328,actor,Sal Da Vinci
nm0154110,actor,Anil Chatterjee
nm0031511,actor,Omero Antonutti
nm0845867,actor,Oleg Tabakov
nm0247642,actor,George Eastman
nm0040910,actor,Kiyoshi Atsumi
nm0122050,actor,Georgiy Burkov
nm0817881,actor,Bud Spencer
nm0408636,actor,Angelo Infanti
nm0148315,actor,Ramón Centenero
nm0082761,actor,Jerzy Binczycki
nm0704719,actor,Francisco Rabal
nm0681566,actor,Michel Piccoli
nm0004429,actor,Dharmendra
nm0159159,actor,Prem Chopra
nm0147983,actor,Adriano Celentano
nm0598720,actor,Renzo Montagnani
nm0350884,actor,Ernesto Gómez Cruz
nm0011553,actor,Jirí Adamíra
nm0008311,actor,Aleksandr Abdulov
nm0893872,actor,Carlo Verdone
nm0151005,actor,Lung Chan
nm0151080,actor,Sing Chen
nm0001472,actor,Jet Li
nm0438071,actor,Phillip Ko
nm0477231,actor,Phillip Chung-Fung Kwok
nm0787462,actor,Naseeruddin Shah
nm0324843,actor,Mohan Gokhale
nm0249982,actor,Eric Edwards
nm0129004,actor,Roger Caine
nm0748430,actor,Dave Ruby
nm0102522,actor,Petar Bozovic
nm0000367,actor,Gérard Depardieu
nm0922301,actor,Randy West
nm0476828,actor,Anatoliy Kuznetsov
nm0363615,actor,Raimund Harmstorf
nm0159027,actor,Billy Chong
nm0490623,actor,Dan Lau
nm0562056,actor,Martin May
nm0559752,actor,Dietrich Mattausch
nm0190691,actor,György Cserhalmi
nm0304839,actor,Dezsö Garas
nm0914113,actor,John Waters
nm0000986,actor,Bryan Brown
nm0402730,actor,Bill Hunter
nm0273178,actor,Fernando Fernán Gómez
nm0619938,actor,Tatsuya Nakadai
nm0700869,actor,Amrish Puri
nm0700875,actor,Om Puri
nm0785177,actor,Ahmad Tarmimi Serigar
nm0356448,actor,Dieter Hallervorden
nm0499718,actor,Manfred Lehmann
nm0001332,actor,Robert Hays
nm0000558,actor,Leslie Nielsen
nm0001233,actor,Robert Forster
nm0138405,actor,Jean Carmet
nm0608311,actor,Gastone Moschin
nm0000821,actor,Amitabh Bachchan
nm0451166,actor,Amjad Khan
nm0244884,actor,Utpal Dutt
nm0000142,actor,Clint Eastwood
nm0507212,actor,Geoffrey Lewis
nm0810342,actor,William Smith
nm0865575,actor,Ugo Tognazzi
nm0192685,actor,Giuseppe Curia
nm0007746,actor,Diego Abatantuono
nm0260330,actor,Luis Escobar
nm0001186,actor,Denholm Elliott
nm0008704,actor,Joe Abeywickrama
nm0399070,actor,Yue Wong
nm0155572,actor,Kang-Yeh Cheng
nm0004462,actor,Jean-Louis Trintignant
nm0105475,actor,Claude Brasseur
nm0473314,actor,Feng Ku
nm0001816,actor,Robert Vaughn
nm0362970,actor,John Hargreaves
nm0249892,actor,Paul Thomas
nm0538683,actor,Mako
nm0000434,actor,Mark Hamill
nm0001019,actor,Robert Carradine
nm0223738,actor,Bobby Di Cicco
nm0830153,actor,Hugo Stiglitz
nm0099560,actor,Max H. Boulois
nm0001765,actor,Harry Dean Stanton
nm0040173,actor,Bobby Astyr
nm0003501,actor,Jamie Gillis
nm0000004,actor,John Belushi
nm0000101,actor,Dan Aykroyd
nm0001006,actor,John Candy
nm0689990,actor,Bolek Polívka
nm0756940,actor,Gennady Sayfulin
nm0493738,actor,Evgeniy Lazarev
nm0000314,actor,Charles Bronson
nm0456124,actor,Bruno Kirby
nm0000596,actor,Jonathan Pryce
nm0000151,actor,Morgan Freeman
nm0793384,actor,Kien Shih
nm0176035,actor,George Constantin
nm0225216,actor,Ion Dichiseanu
nm0720029,actor,Alexandru Repan
nm0562210,actor,Antonio Mayans
nm0127656,actor,Antônio do Cabo
nm0000331,actor,Chevy Chase
nm0000195,actor,Bill Murray
nm0542063,actor,Nino Manfredi
nm0148041,actor,Adolfo Celi
nm0785664,actor,Michel Serrault
nm0301556,actor,Michel Galabru
nm0484376,actor,Alfredo Landa
nm0854177,actor,Manuel Tejada
nm0185504,actor,Gheorghe Cozorici
nm0000997,actor,Gary Busey
nm0529890,actor,Ricardo Palacios
nm0290628,actor,Pippo Franco
nm0093585,actor,Bombolo
nm0593192,actor,Cameron Mitchell
nm0002181,actor,Imanol Arias
nm0042104,actor,Michel Aumont
nm0656647,actor,Jason Piao Pai
nm0000164,actor,Anthony Hopkins
nm0001507,actor,Cheech Marin
nm0001045,actor,Tommy Chong
nm0031634,actor,Guillermo Antón
nm0155291,actor,Kuan Tai Chen
nm0538217,actor,Tamás Major
nm0720879,actor,Gábor Reviczky
nm0165316,actor,Erik Clausen
nm0843237,actor,Leif Sylvester
nm0000052,actor,Marcello Mastroianni
nm0000809,actor,Daniel Auteuil
nm0001016,actor,David Carradine
nm0394176,actor,Harold Hopkins
nm0951145,actor,Josema Yuste
nm0544432,actor,José Luis Manzano
nm0000377,actor,Richard Dreyfuss
nm0957372,actor,Velimir 'Bata' Zivojinovic
nm0470772,actor,Joaquín Kremel
nm0303918,actor,Antonio Gamero
nm0147721,actor,Francisco Cecilio
nm0834754,actor,Woody Strode
nm0481694,actor,Hon Chi Lai
nm0477071,actor,Hoi-San Kwan
nm0284613,actor,Yeh Fang
nm0562841,actor,Alfredo Mayo
nm0001421,actor,George Kennedy
nm0001077,actor,Richard Crenna
nm0541576,actor,Nick Mancuso
nm0000732,actor,Danny Aiello
nm0587401,actor,Tomas Milian
nm0207458,actor,Manuel de Blas
nm0688497,actor,Jean Poiret
nm0699909,actor,Jesús Puente
nm0001424,actor,Udo Kier
nm0784523,actor,Jean-Pierre Sentier
nm0001164,actor,Charles Durning
nm0304708,actor,Eddy Ko
nm0939251,actor,Melvin Wong
nm0004434,actor,Shashi Kapoor
nm0000686,actor,Christopher Walken
nm0000297,actor,Tom Berenger
nm0347218,actor,Fernando Guillén
nm0764450,actor,Jorge Sanz
nm0092482,actor,Dragomir Bojanic-Gidra
nm0802374,actor,Shatrughan Sinha
nm0001657,actor,Oliver Reed
nm0000323,actor,Michael Caine
nm0021193,actor,Fernando Allende
nm0050781,actor,Carlos Ballesteros
nm0004570,actor,Sunil Dutt
nm0417714,actor,Jankidas
nm0534501,actor,Madan Puri
nm0000457,actor,John Hurt
nm0307468,actor,Antonio Garisa
nm0516316,actor,Lieh Lo
nm0000148,actor,Harrison Ford
nm0001850,actor,Billy Dee Williams
nm0150774,actor,Danny Bak-Keung Chan
nm0002000,actor,Leslie Cheung
nm0490521,actor,Damian Lau
nm0004486,actor,Bruno Ganz
nm0016321,actor,Alban Ceray
nm0261681,actor,Fernando Esteso
nm0654843,actor,Antonio Ozores
nm0956402,actor,Damouré Zika
nm0504126,actor,John Leslie
nm0320180,actor,Robert Ginty
nm0416944,actor,Steve James
nm0859772,actor,Tim Thomerson
nm0369136,actor,Hou Hsiao
nm0910979,actor,Lung-Wei Wang
nm0897715,actor,Paolo Villaggio
nm0714805,actor,Gigi Reder
nm0612219,actor,Paul Muller
nm0000465,actor,Ron Jeremy
nm0001123,actor,Dom DeLuise
nm0157785,actor,Siu-Ho Chin
nm0140649,actor,Mathieu Carrière
nm0004365,actor,Fred Williamson
nm0276410,actor,Wolfgang Fierek
nm0433495,actor,Ernst-Hugo Järegård
nm0950751,actor,Shun-Yee Yuen
nm0000008,actor,Marlon Brando
nm0002002,actor,Shin'ichi Chiba
nm0080173,actor,Master Bhagwan
nm0891755,actor,Hans Veerman
nm0729473,actor,Jorge Rivero
nm0721044,actor,Bruno Rey
nm0953881,actor,Alfonso Zayas
nm0896189,actor,Jorge Victoria
nm0000598,actor,Dennis Quaid
nm0333179,actor,Andrzej Grabarczyk
nm0155593,actor,Lawrence Cheng
nm0150850,actor,Pak-Cheung Chan
nm0273193,actor,Tino Fernández
nm0616392,actor,David Muñoz
nm0005033,actor,Sammo Kam-Bo Hung
nm0161213,actor,Fat Chung
nm0398987,actor,Ha Huang
nm0482580,actor,Ching-Ying Lam
nm0438501,actor,Rishi Kapoor
nm0710211,actor,Ranjeet
nm0949069,actor,Hidetaka Yoshioka
nm0001588,actor,Jack Palance
nm0621987,actor,Ali Nassirian
nm0258168,actor,Ezzatolah Entezami
nm0480099,actor,Stephen Lack
nm0199325,actor,Lawrence Dane
nm0000560,actor,Nick Nolte
nm0001334,actor,John Heard
nm0788829,actor,Ray Sharkey
nm0001434,actor,Kris Kristofferson
nm0001832,actor,Sam Waterston
nm0315917,actor,Rabi Ghosh
nm0154164,actor,Soumitra Chatterjee
nm0637508,actor,Zachi Noy
nm0000615,actor,John Ritter
nm0126960,actor,José Bódalo
nm0000299,actor,Michael Biehn
nm0711014,actor,Tony Rosato
nm0255544,actor,Xabier Elorriaga
nm0896446,actor,Walter Vidarte
nm0000527,actor,Walter Matthau
nm0545383,actor,Guy Marchand
nm0149822,actor,Mithun Chakraborty
nm0514904,actor,Chia-Hui Liu
nm0000996,actor,LeVar Burton
nm0439409,actor,Tõnu Kark
nm0001967,actor,Peter Boyle
nm0001640,actor,Richard Pryor
nm0044796,actor,Raj Babbar
nm0001698,actor,John Savage
nm0173354,actor,Coluche
nm0347453,actor,Julien Guiomar
nm0001831,actor,David Warner
nm0000140,actor,Michael Douglas
nm0001301,actor,Charles Grodin
nm0661118,actor,Mario Pardo
nm0162223,actor,Luis Ciges
nm0599640,actor,Guillermo Montesinos
nm0000059,actor,Laurence Olivier
nm0002010,actor,Christian Clavier
nm0155532,actor,Adam Cheng
nm0047016,actor,Ying Bai
nm0155587,actor,Kent Cheng
nm0066223,actor,Kenny Bee
nm0150796,actor,Anthony Chan
nm0415777,actor,Ka-Yan Leung
nm0151866,actor,Yi Chang
nm0628704,actor,Jinpachi Nezu
nm0451425,actor,Kulbhushan Kharbanda
nm0000638,actor,William Shatner
nm0002157,actor,Herbert Achternbusch
nm0081547,actor,Josef Bierbichler
nm0150527,actor,Krzysztof Chamiec
nm0952442,actor,Tomasz Zaliwski
nm0943138,actor,Wu Ma
nm0150844,actor,Sung-Young Chen
nm0337167,actor,Albino Graziani
nm0534508,actor,József Madaras
nm0894677,actor,Howard Vernon
nm0451211,actor,Feroz Khan
nm0161892,actor,Gianni Ciardo
nm0657004,actor,Andrés Pajares
nm0714359,actor,Antonio Rebollo
nm0582074,actor,Marco Messeri
nm0001364,actor,Bob Hoskins
nm0005078,actor,Stacy Keach
nm0001215,actor,Albert Finney
nm0471771,actor,Miodrag Krivokapic
nm0226699,actor,Bogdan Diklic
nm0626259,actor,Franco Nero
nm0711501,actor,Ivan Rassimov
nm0818874,actor,Joe Spinell
nm0001394,actor,Derek Jacobi
nm0191288,actor,Víctor Cuica
nm0760640,actor,Enrique San Francisco
nm0001592,actor,Joe Pantoliano
nm0001917,actor,Pedro Armendáriz Jr.
nm0494432,actor,Paul Le Mat
nm0618389,actor,Marius Müller-Westernhagen
nm0794827,actor,Kuan-Hsiung Wang
nm0266649,actor,Yat Fan Lau
nm0588553,actor,Jason Miller
nm0281130,actor,Ed Flanders
nm0000661,actor,Donald Sutherland
nm0001812,actor,Lee Van Cleef
nm0734000,actor,Jean Rochefort
nm0487025,actor,Vasiliy Lanovoy
nm0950881,actor,Georgiy Yumatov
nm0314048,actor,Evgeniy Gerasimov
nm0229415,actor,Mariusz Dmochowski
nm0331724,actor,Vladimir Gostyukhin
nm0634159,actor,Philippe Noiret
nm0001800,actor,Rip Torn
nm0000459,actor,Timothy Hutton
nm0793726,actor,Masami Shimojô
nm0535332,actor,Gin Maeda
nm0718829,actor,Miguel Rellán
nm0000454,actor,Dennis Hopper
nm0669813,actor,Franciszek Pieczka
nm0761420,actor,Otto Sander
nm0597517,actor,Dan Monahan
nm0524230,actor,Luís Lucas
nm0246822,actor,Diogo Dória
nm0892358,actor,Carles Velat
nm0529645,actor,Philippe Léotard
nm0119725,actor,István Bujtor
nm0449431,actor,András Kern
nm0126559,actor,László Bánhidi
nm0361570,actor,Jaromír Hanzlík
nm0000134,actor,Robert De Niro
nm0000582,actor,Joe Pesci
nm0898634,actor,Frank Vincent
nm0129590,actor,Arturo Calderón
nm0562583,actor,Héctor Mayerston
nm0352278,actor,Matthias Habich
nm0001445,actor,Martin Landau
nm0873385,actor,Massimo Troisi
nm0034253,actor,Lello Arena
nm0467478,actor,Petr Kostka
nm0000608,actor,Burt Reynolds
nm0000057,actor,David Niven
nm0001662,actor,Judge Reinhold
nm0646037,actor,Daniel Olbrychski
nm0631102,actor,Leon Niemczyk
nm0196181,actor,Pepe Da Rosa
nm0304227,actor,Paco Gandía
nm0034390,actor,Niels Arestrup
nm0702666,actor,Ching Wong
nm0152054,actor,Roy Chiao
nm0950707,actor,Biao Yuen
nm0000197,actor,Jack Nicholson
nm0793731,actor,Shirô Shimomoto
nm0868139,actor,Pierre Tornade
nm0256387,actor,Michael Emil
nm0001276,actor,Jackie Gleason
nm0715274,actor,Jerry Reed
nm0001659,actor,Christopher Reeve
nm0694843,actor,Renato Pozzetto
nm0001638,actor,Jürgen Prochnow
nm0464710,actor,Boris Komnenic
nm0434330,actor,Erol Kadic
nm0324698,actor,Ignacy Gogolewski
nm0002231,actor,Gian Maria Volontè
nm0000698,actor,Gene Wilder
nm0515030,actor,Wai-Hung Liu
nm0706883,actor,Steve Railsback
nm0000432,actor,Gene Hackman
nm0718759,actor,Winston Rekert
nm0351576,actor,Ernst Günther
nm0959717,actor,Lasse Åberg
nm0804605,actor,Jon Skolmen
nm0655330,actor,Richard Pacheco
nm0415556,actor,Jagdeep
nm0080445,actor,Bharat Bhushan
nm0151539,actor,Chandrashekhar
nm0002094,actor,Vittorio Gassman
nm0379678,actor,Rafael Hernández
nm0000125,actor,Sean Connery
nm0000092,actor,John Cleese
nm0009368,actor,Josef Abrhám
nm0000493,actor,Jack Lemmon
nm0361757,actor,Yoshio Harada
nm0549457,actor,Akaji Maro
nm0581103,actor,Mario Merola
nm0664218,actor,Spede Pasanen
nm0517978,actor,Vesa-Matti Loiri
nm0758741,actor,Simo Salminen
nm0455797,actor,Heikki Kinnunen
nm0911542,actor,Fred Ward
nm0487022,actor,Victor Lanoux
nm0099084,actor,Patrick Bouchitey
nm0487254,actor,Gérard Lanvin
nm0079916,actor,Hermann Beyer
nm0000587,actor,Donald Pleasence
nm0297450,actor,Miguel Ángel Fuentes
nm0001494,actor,Ralph Macchio
nm0000237,actor,John Travolta
nm0000621,actor,Kurt Russell
nm0912001,actor,Jack Warden
nm0574433,actor,Frank McRae
nm0407720,actor,Viktor Ilichyov
nm0493724,actor,Aleksandr Lazarev
nm0720277,actor,Antonio Resines
nm0232504,actor,Tung-Shing Yee
nm0713999,actor,Alfonso del Real
nm0001409,actor,Tchéky Karyo
nm0547339,actor,Jean-Pierre Marielle
nm0006664,actor,Zdenek Sverák
nm0224441,actor,Mircea Diaconu
nm0682726,actor,Florin Piersic
nm0001902,actor,Edward Albert
nm0001545,actor,Dudley Moore
nm0836136,actor,Jerzy Stuhr
nm0944134,actor,Wojciech Wysocki
nm0066133,actor,Aleksander Bednarz
nm0790925,actor,Dean Shek
nm0155582,actor,Ka-Sang Cheng
nm0156506,actor,Kwok-Keung Cheung
nm0526695,actor,Fong Lung
nm0150894,actor,Frankie Chan
nm0708790,actor,Santiago Ramos
nm0480587,actor,Óscar Ladoire
nm0637434,actor,Jan Nowicki
nm0000393,actor,Peter Falk
nm0949350,actor,Burt Young
nm0244296,actor,Lev Durov
nm0151068,actor,Philip Chan
nm0235551,actor,Juan Dover
nm0145914,actor,Paco Catalá
nm0012294,actor,Joop Admiraal
nm0395121,actor,Mike Horner
nm0798827,actor,Joey Silvera
nm0151755,actor,Kuo-Chu Chang
nm0156875,actor,Charlie Chin
nm0529543,actor,Jean-Pierre Léaud
nm0299201,actor,Masato Furuoya
nm0690610,actor,Gabriel Pontello
nm0074151,actor,Dany Berger
nm0508293,actor,Thierry Lhermitte
nm0946179,actor,Jean Yanne
nm0903901,actor,Yorgo Voyagis
nm0116091,actor,Philippe Bruneau
nm0001418,actor,David Keith
nm0244707,actor,André Dussollier
nm0040545,actor,Féodor Atkine
nm0405695,actor,Paul Hébert
nm0217880,actor,Xavier Deluc
nm0089882,actor,Graeme Blundell
nm0456093,actor,Raj Kiran
nm0961039,actor,Raymond van Haaf
nm0472941,actor,Jan Kruyk
nm0960828,actor,Dik van Dodewaard
nm0176161,actor,Hub Consten
nm0408476,actor,Rafael Inclán
nm0830293,actor,Jack Wrangler
nm0300565,actor,Antonio Gades
nm0422981,actor,Juan Antonio Jiménez
nm0001101,actor,Ted Danson
nm0847812,actor,Henryk Talar
nm0303437,actor,Venchito Galvez
nm0759252,actor,Phillip Salvador
nm0511703,actor,Emilio Linder
nm0156460,actor,Chung-Kuei Chang
nm0479753,actor,Marián Labuda
nm0007210,actor,Saul Rubinek
nm0345616,actor,Jerzy Gudejko
nm0597816,actor,Pierre Mondy
nm0104753,actor,David Brandon
nm0097391,actor,Charles Borromel
nm0758066,actor,Enrico Maria Salerno
nm0813691,actor,Miguel Ángel Solá
nm0524093,actor,Carlos Lucas
nm0885474,actor,Máximo Valverde
nm0510436,actor,Ramón Lillo
nm0195293,actor,Nino D'Angelo
nm0188021,actor,Lino Crispo
nm0874868,actor,Yin Tse
nm0368745,actor,Richard Hatch
nm0787582,actor,Farooq Shaikh
nm0006762,actor,Saeed Jaffrey
nm0066075,actor,Rakesh Bedi
nm0598971,actor,Yves Montand
nm0150862,actor,Dennis Chan
nm0398801,actor,Chun-Hsiung Ko
nm0029177,actor,Bert André
nm0091336,actor,Theu Boermans
nm0031026,actor,Tony Anthony
nm0704164,actor,Gene Quintano
nm0025630,actor,Vikas Anand
nm0000216,actor,Arnold Schwarzenegger
nm0000469,actor,James Earl Jones
nm0147167,actor,Gianni Cavina
nm0412313,actor,Rick Iverson
nm0320808,actor,Bernard Giraudeau
nm0072768,actor,Fabrizio Bentivoglio
nm0130271,actor,Lun Chia
